# rank, score, width, depth, height, tx, ty, tz, R(3x3 row-major)
0, 0.6321, 0.0787, 0.0300, 0.0200, 0.0697, 0.0143, 0.2096, 0.0228,-0.9989,-0.0402,0.4925,0.0462,-0.8691,0.8700,0.0000,0.4931
1, 0.6172, 0.0811, 0.0300, 0.0200, 0.0768, 0.0430, 0.2061, -0.0032,1.0000,0.0037,-0.6538,-0.0049,0.7567,0.7567,0.0000,0.6538
2, 0.5269, 0.0850, 0.0300, 0.0200, -0.0429, -0.0350, 0.2418, -0.0279,-0.9993,0.0234,0.7651,-0.0364,-0.6429,0.6433,0.0000,0.7656
3, 0.4709, 0.0850, 0.0400, 0.0200, 0.0654, -0.0167, 0.2112, 0.0839,-0.9953,-0.0489,0.8600,0.0971,-0.5010,0.5033,0.0000,0.8641
4, 0.4147, 0.0682, 0.0300, 0.0200, -0.0410, 0.0225, 0.2381, 0.2394,-0.9552,-0.1742,-0.0423,0.1690,-0.9847,0.9700,0.2431,-0.0000
5, 0.3513, 0.0850, 0.0300, 0.0200, 0.1691, -0.1017, 0.3501, -0.2804,-0.9598,-0.0103,0.9592,-0.2806,0.0352,-0.0367,0.0000,0.9993
6, 0.2936, 0.0845, 0.0300, 0.0200, -0.0446, -0.0188, 0.2341, 0.0756,-0.9971,0.0101,0.2812,0.0116,-0.9596,0.9567,0.0754,0.2813
7, 0.2267, 0.0446, 0.0100, 0.0200, -0.0849, 0.0637, 0.2213, -0.3117,-0.3430,0.8861,0.1138,-0.9393,-0.3236,0.9433,0.0000,0.3318
8, 0.2202, 0.0578, 0.0200, 0.0200, 0.1558, 0.0110, 0.3294, -0.4694,-0.8282,-0.3061,-0.1509,-0.2663,0.9520,-0.8700,0.4931,-0.0000
9, 0.2157, 0.0850, 0.0100, 0.0200, -0.1724, 0.0074, 0.3635, 0.9545,-0.2892,0.0728,0.0697,-0.0211,-0.9973,0.2900,0.9570,-0.0000
10, 0.2152, 0.0655, 0.0300, 0.0200, 0.1379, 0.0739, 0.2827, -0.0515,0.0218,-0.9984,-0.9194,0.3894,0.0559,0.3900,0.9208,-0.0000
11, 0.1990, 0.0819, 0.0100, 0.0200, 0.1594, -0.0029, 0.3050, -0.8281,0.3818,-0.4105,-0.1382,0.5706,0.8095,0.5433,0.7270,-0.4198
12, 0.1950, 0.0850, 0.0200, 0.0200, -0.0279, -0.0199, 0.2369, 0.1040,-0.8800,0.4635,0.0953,-0.4551,-0.8853,0.9900,0.1363,0.0365
13, 0.1938, 0.0619, 0.0100, 0.0200, 0.0264, -0.0893, 0.2927, 0.1040,-0.8800,0.4635,0.0953,-0.4551,-0.8853,0.9900,0.1363,0.0365
14, 0.1786, 0.0850, 0.0300, 0.0200, 0.1877, -0.0895, 0.3547, -0.7501,-0.6592,-0.0526,0.6576,-0.7519,0.0461,-0.0700,0.0000,0.9975
15, 0.1701, 0.0416, 0.0400, 0.0200, -0.1062, 0.0584, 0.2028, 0.5845,-0.2549,-0.7704,0.1541,0.9670,-0.2031,0.7967,0.0000,0.6044
16, 0.1615, 0.0746, 0.0400, 0.0200, 0.1628, 0.0753, 0.3095, -0.3159,0.0350,-0.9481,-0.9424,0.1043,0.3178,0.1100,0.9939,-0.0000
17, 0.1590, 0.0717, 0.0200, 0.0200, 0.1672, -0.0087, 0.3149, -0.9323,0.1672,0.3207,0.3613,0.4714,0.8045,-0.0167,0.8659,-0.4999
18, 0.1551, 0.0576, 0.0200, 0.0200, -0.1166, 0.0573, 0.2321, 0.9968,-0.0218,0.0766,0.0218,0.9998,0.0017,-0.0767,0.0000,0.9971
