# rank, score, width, depth, height, tx, ty, tz, R(3x3 row-major)
0, 0.4110, 0.0843, 0.0300, 0.0200, -0.1270, 0.0649, 0.2512, 0.6661,0.0923,-0.7402,-0.0617,0.9957,0.0686,0.7433,0.0000,0.6689
1, 0.3717, 0.0798, 0.0200, 0.0200, 0.1528, 0.1086, 0.3770, -0.7199,0.5687,-0.3978,-0.6890,-0.6545,0.3113,-0.0833,0.4983,0.8630
2, 0.3502, 0.0824, 0.0200, 0.0200, 0.0929, 0.1019, 0.3973, -0.3229,-0.2574,-0.9108,-0.7122,-0.5677,0.4129,-0.6233,0.7820,-0.0000
3, 0.2865, 0.0744, 0.0300, 0.0200, 0.1439, 0.0973, 0.3970, -0.8080,0.3543,-0.4707,-0.3062,-0.9351,-0.1784,-0.5033,0.0000,0.8641
4, 0.2344, 0.0850, 0.0300, 0.0200, 0.1789, 0.0944, 0.3413, -0.6977,0.2946,0.6530,-0.2151,-0.9556,0.2013,0.6833,0.0000,0.7301
5, 0.2122, 0.0850, 0.0300, 0.0200, 0.0715, 0.0672, 0.2347, -0.3410,-0.3002,-0.8908,-0.3394,0.9231,-0.1811,0.8767,0.2405,-0.4166
6, 0.1910, 0.0850, 0.0300, 0.0200, 0.1750, 0.0923, 0.3819, -0.8194,0.4759,-0.3196,-0.4434,-0.8795,-0.1729,-0.3633,0.0000,0.9317
7, 0.1904, 0.0850, 0.0300, 0.0200, 0.1131, 0.0693, 0.2522, 0.0569,-0.1152,-0.9917,-0.4390,0.8892,-0.1285,0.8967,0.4427,-0.0000
8, 0.1857, 0.0729, 0.0200, 0.0200, 0.0642, 0.1107, 0.3866, 0.2322,0.1401,-0.9625,-0.8241,-0.4973,-0.2712,-0.5167,0.8562,-0.0000
9, 0.1696, 0.0638, 0.0100, 0.0200, 0.0574, 0.1087, 0.3797, 0.5213,-0.2983,-0.7995,-0.6939,0.3971,-0.6007,0.4967,0.8679,-0.0000
10, 0.1612, 0.0657, 0.0100, 0.0200, 0.0456, 0.1108, 0.3913, -0.6228,0.0353,-0.7816,-0.7803,0.0443,0.6238,0.0567,0.9984,-0.0000
11, 0.1538, 0.0844, 0.0200, 0.0200, 0.1144, 0.1091, 0.3946, 0.2322,0.1401,-0.9625,-0.8241,-0.4973,-0.2712,-0.5167,0.8562,-0.0000
12, 0.1173, 0.0609, 0.0100, 0.0200, -0.1497, 0.0909, 0.3391, 0.7958,-0.2953,-0.5286,-0.5771,-0.1056,-0.8098,0.1833,0.9496,-0.2544
13, 0.1105, 0.0555, 0.0200, 0.0200, -0.1554, 0.0807, 0.3103, 0.7772,-0.6260,-0.0644,-0.1788,-0.1215,-0.9763,0.6033,0.7703,-0.2064
14, 0.1070, 0.0850, 0.0200, 0.0200, -0.0747, 0.0441, 0.2510, 0.2228,-0.0658,0.9726,0.5324,-0.8276,-0.1779,0.8167,0.5574,-0.1494
15, 0.0988, 0.0850, 0.0200, 0.0200, 0.1981, 0.0349, 0.3756, -0.8569,0.3022,-0.4177,0.1602,0.9262,0.3414,0.4900,0.2256,-0.8420
16, 0.0848, 0.0850, 0.0100, 0.0200, -0.1279, 0.0354, 0.2606, 0.8836,-0.2052,-0.4209,0.1852,0.9787,-0.0882,0.4300,0.0000,0.9028
17, 0.0721, 0.0845, 0.0200, 0.0200, -0.0836, 0.1057, 0.3714, 0.2599,-0.8931,-0.3672,-0.8578,-0.0390,-0.5124,0.4433,0.4482,-0.7763
18, 0.0692, 0.0850, 0.0400, 0.0200, 0.1798, 0.0767, 0.3484, -0.8896,0.3324,0.3132,0.2934,-0.1096,0.9497,0.3500,0.9367,-0.0000
19, 0.0663, 0.0801, 0.0200, 0.0200, -0.1472, 0.0535, 0.3018, 0.8561,-0.1431,0.4965,-0.0084,-0.9646,-0.2637,0.5167,0.2216,-0.8270
20, 0.0583, 0.0850, 0.0200, 0.0200, 0.1493, 0.0366, 0.2830, -0.7756,0.2122,-0.5945,0.0397,0.9563,0.2896,0.6300,0.2010,-0.7501
21, 0.0528, 0.0199, 0.0100, 0.0200, -0.1766, 0.0463, 0.3448, 0.3458,-0.4361,-0.8308,-0.2004,0.8307,-0.5195,0.9167,0.3461,0.1998
22, 0.0488, 0.0850, 0.0200, 0.0200, -0.0801, 0.0600, 0.2339, -0.1558,-0.1115,-0.9815,-0.3329,0.9414,-0.0541,0.9300,0.3183,-0.1838
23, 0.0478, 0.0850, 0.0400, 0.0200, 0.1230, 0.0635, 0.2539, -0.1558,0.3942,-0.9057,-0.3329,0.8423,0.4238,0.9300,0.3676,-0.0000
24, 0.0425, 0.0718, 0.0200, 0.0200, -0.1121, 0.0990, 0.3457, 0.4980,-0.8379,-0.2232,-0.3857,0.0165,-0.9225,0.7767,0.5455,-0.3150
25, 0.0408, 0.0695, 0.0200, 0.0200, -0.0907, 0.1104, 0.3971, -0.1463,-0.1475,-0.9782,-0.6888,-0.6945,0.2077,-0.7100,0.7042,-0.0000
26, 0.0360, 0.0422, 0.0100, 0.0200, -0.1657, 0.0437, 0.3422, 0.9545,-0.0728,-0.2892,0.0697,0.9973,-0.0211,0.2900,0.0000,0.9570
27, 0.0358, 0.0653, 0.0100, 0.0200, -0.1292, 0.0952, 0.3505, 0.1826,-0.6550,-0.7332,-0.9394,-0.3362,0.0664,-0.2900,0.6767,-0.6767
28, 0.0321, 0.0850, 0.0200, 0.0200, 0.1491, 0.0295, 0.2917, -0.8569,-0.1838,0.4817,0.1602,-0.9830,-0.0901,0.4900,0.0000,0.8717
29, 0.0288, 0.0390, 0.0100, 0.0200, -0.2133, -0.0193, 0.4071, 0.6399,-0.1794,-0.7472,-0.7194,0.2017,-0.6646,0.2700,0.9629,-0.0000
30, 0.0266, 0.0482, 0.0100, 0.0200, -0.2272, 0.0511, 0.4337, 0.6718,0.5547,-0.4909,-0.3786,-0.3126,-0.8712,-0.6367,0.7711,-0.0000
31, 0.0263, 0.0377, 0.0100, 0.0200, -0.0138, 0.1130, 0.3922, -0.5490,-0.0947,-0.8304,-0.8183,-0.1412,0.5571,-0.1700,0.9854,-0.0000
32, 0.0249, 0.0402, 0.0100, 0.0200, -0.1865, 0.0455, 0.3559, 0.9811,-0.0098,-0.1934,-0.1934,0.0019,-0.9811,0.0100,0.9999,-0.0000
33, 0.0238, 0.0529, 0.0100, 0.0200, -0.2043, -0.0714, 0.3975, 0.8561,-0.4965,-0.1431,-0.0084,0.2637,-0.9646,0.5167,0.8270,0.2216
